Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Total - All Places of Death,1136076,11569541,1123100,565185,21901,1713431,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,"Healthcare setting, inpatient",743207,3592622,841478,459861,13943,1137676,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,"Healthcare setting, outpatient or emergency room",40908,689320,33671,12845,1163,62819,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,"Healthcare setting, dead on arrival",1117,30706,710,269,30,1588,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Decedent's home,114319,3903005,85184,29560,3415,172344,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Hospice facility,41107,718803,51466,18112,1069,75431,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Nursing home/long term care facility,169764,1803094,91409,37047,1851,225846,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Other,25530,830384,19084,7441,429,37554,
06/28/2023,01/01/2020,06/24/2023,By Total,,,United States,Place of death unknown,124,1607,98,50,1,173,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Total - All Places of Death,21304,217866,17016,7347,345,31272,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,"Healthcare setting, inpatient",15962,69904,14189,6437,260,23938,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",780,16277,433,131,24,1105,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,"Healthcare setting, dead on arrival",14,335,,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Decedent's home,2045,86604,967,341,35,2702,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Hospice facility,314,8338,521,136,,707,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Nursing home/long term care facility,1973,23537,772,263,11,2491,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Other,216,12871,128,38,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Total - All Places of Death,1467,18798,1435,804,47,2143,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,"Healthcare setting, inpatient",1016,6426,1122,687,32,1482,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",56,1133,43,15,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,12,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Decedent's home,245,7608,173,64,,360,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Nursing home/long term care facility,108,1829,58,24,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Other,42,1789,39,14,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Total - All Places of Death,30107,267908,29571,17349,361,42667,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,"Healthcare setting, inpatient",20319,72688,21810,14040,238,28315,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",943,14505,809,341,18,1427,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,"Healthcare setting, dead on arrival",,81,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Decedent's home,3328,92061,2697,1111,44,4956,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Hospice facility,1649,20800,1592,626,32,2643,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Nursing home/long term care facility,2081,29878,1414,688,12,2819,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Other,1781,37895,1246,541,17,2500,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Total - All Places of Death,12544,131462,12930,6015,283,19722,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,"Healthcare setting, inpatient",8113,39983,9592,4816,190,13067,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",544,9699,474,163,27,882,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,"Healthcare setting, dead on arrival",17,249,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Decedent's home,1089,43724,895,258,39,1760,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Hospice facility,601,11775,844,275,14,1183,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Nursing home/long term care facility,2028,18525,1007,469,11,2575,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Other,152,7506,109,31,,232,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Arkansas,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Total - All Places of Death,108052,1109149,120726,61650,1730,168772,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,"Healthcare setting, inpatient",76431,359197,96766,52006,1344,122470,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,"Healthcare setting, outpatient or emergency room",4281,62467,3975,1582,90,6757,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,"Healthcare setting, dead on arrival",28,356,26,12,0,42,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Decedent's home,12389,422623,9220,3367,177,18413,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Hospice facility,578,19671,607,191,,1001,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Nursing home/long term care facility,9710,109425,6701,2985,66,13487,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Other,4634,135392,3430,1506,46,6601,
06/28/2023,01/01/2020,06/24/2023,By Total,,,California,Place of death unknown,,18,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Total - All Places of Death,15251,165385,14742,7806,391,22559,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,"Healthcare setting, inpatient",8413,41886,9648,5806,210,12455,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,"Healthcare setting, outpatient or emergency room",356,6489,336,140,21,573,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,"Healthcare setting, dead on arrival",16,150,,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Decedent's home,2403,60386,1893,692,72,3674,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Hospice facility,500,11862,783,235,22,1069,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Nursing home/long term care facility,3227,33293,1771,838,58,4212,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Other,336,11282,302,89,,557,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Colorado,Place of death unknown,0,37,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Total - All Places of Death,12467,122446,9972,4052,214,18588,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,"Healthcare setting, inpatient",7431,42445,7847,3381,152,12038,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,"Healthcare setting, outpatient or emergency room",472,7607,226,65,10,643,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,"Healthcare setting, dead on arrival",19,702,12,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Decedent's home,784,36640,365,67,15,1096,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Hospice facility,241,4443,199,84,,361,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Nursing home/long term care facility,3281,23216,1230,424,30,4116,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Other,239,7393,93,28,,306,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Connecticut,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Total - All Places of Death,3403,38554,3310,1670,63,5102,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,"Healthcare setting, inpatient",2052,10251,2551,1373,42,3269,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,"Healthcare setting, outpatient or emergency room",100,2273,100,33,,171,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,"Healthcare setting, dead on arrival",,38,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Decedent's home,383,14317,237,101,,527,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Hospice facility,217,4574,197,63,,356,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
