"state","AverageIncomePerCapita2022","AverageIncomePerCapita2021"
"Alabama",50637,49671
"Alaska",68919,65677
"Arizona",56667,55574
"Arkansas",51787,50588
"California",77339,76800
"Colorado",74167,70715
"Connecticut",84972,82885
"Delaware",61387,59846
"District of Columbia",96728,96659
"Florida",63597,62136
"Georgia",57129,55846
"Hawaii",61175,60711
"Idaho",54537,52276
"Illinois",68822,67165
"Indiana",57930,56435
"Iowa",58905,57080
"Kansas",60152,58857
"Kentucky",52109,51298
"Louisiana",54622,54181
"Maine",59463,58272
"Maryland",70730,69710
"Massachusetts",84945,83593
"Michigan",56813,56569
"Minnesota",68010,66232
"Mississippi",46248,45887
"Missouri",56551,55310
"Montana",57719,56848
"Nebraska",63321,61210
"Nevada",61282,60167
"New Hampshire",74663,73279
"New Jersey",78700,77009
"New Mexico",51500,50292
"New York",78089,76753
"North Carolina",57416,56095
"North Dakota",66184,64276
"Ohio",57880,56955
"Oklahoma",54998,53808
"Oregon",62767,61449
"Pennsylvania",65167,64042
"Rhode Island",65377,64296
"South Carolina",53320,52441
"South Dakota",65806,64405
"Tennessee",58279,56616
"Texas",61985,59802
"Utah",57925,56000
"Vermont",63206,61748
"Virginia",68211,66190
"Washington",75698,73755
"West Virginia",49169,48418
"Wisconsin",61210,59787
"Wyoming",71342,69584
"United States",63442.25490196078,62062.705882352944
