,State,Deaths,,
,California,"101,159",,
,Texas,"93,390",,
,Florida,"86,850",,
,New York,"77,157",,
,Pennsylvania,"50,398",,
,Georgia,"42,489",,
,Michigan,"42,205",,
,Ohio,"41,796",,
,Illinois,"41,496",,
,New Jersey,"36,015",,
,Arizona,"33,102",,
,Tennessee,"29,263",,
,North Carolina,"28,432",,
,Indiana,"26,115",,
,Massachusetts,"24,333",,
,Virginia,"23,666",,
,Missouri,"22,870",,
,Alabama,"21,032",,
,South Carolina,"19,600",,
,Louisiana,"18,766",,
,Kentucky,"18,130",,
,Oklahoma,"17,972",,
,Maryland,"16,544",,
,Wisconsin,"16,375",,
,Washington,"15,683",,
,Minnesota,"14,870",,
,Colorado,"14,181",,
,Mississippi,"13,370",,
,Arkansas,"13,020",,
,Connecticut,"12,220",,
,Nevada,"11,922",,
,Iowa,"10,725",,
,Kansas,"10,066",,
,Oregon,"9,373",,
,New Mexico,"9,061",,
,West Virginia,"7,960",,
,Puerto Rico,"5,823",,
,Idaho,"5,416",,
,Utah,"5,298",,
,Nebraska,"4,936",,
,Rhode Island,"3,870",,
,Montana,"3,652",,
,Delaware,"3,324",,
,South Dakota,"3,190",,
,New Hampshire,"3,003",,
,Maine,"2,928",,
,North Dakota,"2,470",,
,Wyoming,"2,004",,
,Hawaii,"1,841",,
,Alaska,"1,486",,
,District of Columbia,"1,432",,
,Vermont,929,,
